Date,Technology,Health,Real Estate,Energy,Industrials,Inflation
2020-01-02,1639.1,1190.45,237.14,460.34,700.05,
2020-01-03,1621.7,1180.33,239.06,458.77,699.23,
2020-01-06,1626.4,1187.27,239.26,462.34,699.04,
2020-01-07,1624.6,1184.41,236.4,461.39,698.18,
2020-01-08,1641.4,1192.03,237.4,453.36,699.78,
2020-01-09,1659.9,1197.64,237.55,456.79,702.98,
2020-01-10,1656.8,1198.13,239.8,453.87,697.97,
2020-01-13,1679.1,1193.9,242.77,454.25,704.16,
2020-01-14,1669.1,1200.43,241.57,454.26,704.15,
2020-01-15,1670.3,1210.62,243.44,451.21,704.75,
2020-01-16,1693.7,1216.96,245.37,451.74,711.84,
2020-01-17,1705.8,1217.69,245.7,448.77,711.83,
2020-01-21,1704.3,1218.2,248.33,440.32,704.1,
2020-01-22,1710.6,1219.64,246.37,436.39,700.02,
2020-01-23,1718.8,1213.6,248.75,434.81,707.9,
2020-01-24,1711.1,1193.25,248.17,429.71,704.53,
2020-01-27,1670.7,1184.21,247.14,417.87,691.38,
2020-01-28,1702.0,1189.86,247.88,419.59,695.72,
2020-01-29,1705.6,1186.54,246.33,415.12,699.57,
2020-01-30,1720.7,1177.34,246.98,418.79,700.16,
2020-01-31,1673.9,1153.96,243.62,405.45,684.12,
2020-02-03,1696.0,1164.64,243.94,400.02,683.84,
2020-02-04,1740.1,1184.41,246.84,400.81,696.42,
2020-02-05,1750.6,1207.71,246.67,415.97,707.99,
2020-02-06,1766.0,1209.05,247.66,411.64,710.17,
2020-02-07,1748.7,1199.27,247.78,408.55,705.2,
2020-02-10,1772.4,1205.41,250.82,405.24,709.17,
2020-02-11,1766.3,1212.83,253.88,409.47,711.68,
2020-02-12,1785.0,1214.51,255.58,415.03,718.21,
2020-02-13,1779.7,1207.93,256.87,413.15,713.22,
2020-02-14,1788.5,1209.53,259.71,409.82,712.8,
2020-02-18,1782.2,1205.08,259.31,406.42,708.8,
2020-02-19,1801.6,1210.55,255.78,411.79,708.42,
2020-02-20,1783.4,1203.03,258.73,411.11,707.25,
2020-02-21,1743.3,1203.41,259.71,405.93,704.12,
2020-02-24,1670.3,1164.14,256.23,386.7,683.15,
2020-02-25,1617.2,1129.79,249.64,369.92,655.63,
2020-02-26,1623.6,1128.63,247.45,358.94,650.42,
2020-02-27,1537.1,1091.03,233.62,339.3,625.79,
2020-02-28,1549.2,1075.66,227.7,343.53,618.39,
2020-03-02,1637.6,1127.57,239.21,353.68,635.4,
2020-03-03,1575.5,1098.88,238.96,342.64,619.97,
2020-03-04,1643.0,1162.75,248.49,350.25,645.95,
2020-03-05,1590.2,1134.9,242.63,337.59,613.91,
2020-03-06,1557.9,1129.02,238.52,318.64,608.4,
2020-03-09,1440.2,1070.44,221.47,254.65,552.41,
2020-03-10,1535.2,1107.57,232.52,267.37,581.23,
2020-03-11,1463.0,1064.27,219.87,252.77,546.68,
2020-03-12,1319.1,985.4,200.75,221.69,490.22,
2020-03-13,1476.9,1053.92,218.08,241.29,528.6,
2020-03-16,1271.4,948.61,181.99,208.41,468.1,
2020-03-17,1357.5,1007.95,194.62,209.92,487.75,
2020-03-18,1295.2,973.71,180.1,179.94,452.86,
2020-03-19,1309.6,955.54,177.68,192.08,454.35,
2020-03-20,1251.7,916.59,167.95,193.93,431.44,
2020-03-23,1239.4,870.99,158.62,181.03,412.06,
2020-03-24,1367.1,937.08,172.18,210.56,464.6,
2020-03-25,1363.3,948.94,179.92,220.02,489.2,
2020-03-26,1449.8,1015.18,193.97,233.76,520.58,
2020-03-27,1383.0,990.69,193.83,217.56,498.02,
2020-03-30,1441.6,1036.98,199.13,219.81,505.54,
2020-03-31,1414.4,1032.9,192.64,223.4,499.12,
2020-04-01,1347.7,993.02,180.87,213.04,476.24,256.032
2020-04-02,1378.4,1020.68,183.29,232.37,483.2,
2020-04-03,1355.6,1010.87,181.9,229.26,475.7,
2020-04-06,1474.6,1065.43,195.02,241.07,509.1,
2020-04-07,1458.9,1055.49,195.25,245.9,508.15,
2020-04-08,1499.0,1099.88,209.71,262.46,526.68,
2020-04-09,1499.2,1106.01,220.5,259.63,534.19,
2020-04-13,1502.2,1095.15,210.39,258.57,518.92,
2020-04-14,1564.9,1131.35,217.24,257.37,528.73,
2020-04-15,1530.7,1125.42,208.96,245.34,513.82,
2020-04-16,1549.7,1150.15,207.72,235.59,509.49,
2020-04-17,1571.0,1173.93,214.41,260.17,533.43,
2020-04-20,1543.0,1164.79,206.4,251.6,519.05,
2020-04-21,1479.7,1128.23,203.08,247.38,506.51,
2020-04-22,1536.9,1146.31,206.95,256.24,512.31,
2020-04-23,1526.3,1151.83,204.49,263.96,516.24,
2020-04-24,1558.5,1168.43,205.08,264.51,520.2,
2020-04-27,1572.7,1183.79,211.23,270.07,533.32,
2020-04-28,1550.6,1158.58,211.28,275.99,543.13,
2020-04-29,1616.0,1167.15,212.02,296.28,553.65,
2020-04-30,1608.6,1162.03,210.61,289.65,542.35,
2020-05-01,1561.7,1137.89,203.79,272.28,526.21,255.802
2020-05-04,1583.9,1138.72,203.76,282.38,519.21,
2020-05-05,1606.5,1163.21,205.04,283.12,521.43,
2020-05-06,1617.9,1151.78,201.26,275.67,514.31,
2020-05-07,1642.4,1151.26,202.97,282.49,520.17,
2020-05-08,1665.4,1157.47,206.76,294.75,533.16,
2020-05-11,1677.0,1177.17,204.25,289.78,526.51,
2020-05-12,1641.2,1159.62,195.57,282.93,511.55,
2020-05-13,1613.5,1146.87,192.42,270.52,498.43,
2020-05-14,1633.8,1159.19,192.6,273.07,503.27,
2020-05-15,1640.7,1167.63,191.75,272.31,501.72,
2020-05-18,1682.7,1178.58,201.21,292.87,534.9,
2020-05-19,1675.9,1164.35,197.48,284.4,528.03,
2020-05-20,1711.4,1165.78,199.16,295.26,537.56,
2020-05-21,1687.4,1156.32,198.09,290.88,538.45,
2020-05-22,1694.5,1158.51,202.46,288.94,537.84,
2020-05-26,1692.5,1156.27,208.87,297.34,560.67,
2020-05-27,1701.7,1168.41,213.35,300.79,579.41,
2020-05-28,1698.4,1183.11,216.0,292.04,573.74,
2020-05-29,1718.5,1198.14,214.27,291.59,570.15,
2020-06-01,1718.9,1186.09,218.78,296.5,571.28,257.042
2020-06-02,1735.0,1193.3,220.22,304.37,578.63,
2020-06-03,1749.3,1190.92,225.51,313.65,601.27,
2020-06-04,1734.6,1181.32,221.44,313.17,607.57,
2020-06-05,1781.2,1200.89,229.41,336.52,630.14,
2020-06-08,1789.2,1208.56,234.35,351.06,642.58,
2020-06-09,1797.8,1195.49,231.73,338.46,626.44,
2020-06-10,1828.2,1193.84,227.3,321.81,611.5,
2020-06-11,1722.0,1126.67,213.07,291.39,568.41,
2020-06-12,1745.1,1134.51,219.81,299.28,579.51,
2020-06-15,1760.3,1136.59,222.04,299.54,584.88,
2020-06-16,1798.3,1164.27,225.93,307.99,596.22,
2020-06-17,1798.8,1163.36,223.37,297.89,592.26,
2020-06-18,1807.5,1159.85,220.38,301.45,590.29,
2020-06-19,1793.7,1169.95,218.11,296.4,582.81,
2020-06-22,1828.3,1165.74,217.56,298.27,583.95,
2020-06-23,1841.1,1170.82,216.79,298.5,583.95,
2020-06-24,1798.9,1139.72,211.03,281.97,563.44,
2020-06-25,1822.3,1151.43,213.32,287.39,569.72,
2020-06-26,1785.7,1137.37,209.45,277.3,559.4,
2020-06-29,1805.5,1147.04,213.0,281.26,577.25,
2020-06-30,1840.1,1167.8,216.39,287.46,581.0,
2020-07-01,1842.0,1176.09,221.96,280.3,578.19,258.352
2020-07-02,1851.3,1184.43,221.21,283.46,582.8,
2020-07-06,1884.7,1196.34,221.59,284.51,591.44,
2020-07-07,1864.8,1186.07,218.04,275.46,579.97,
2020-07-08,1894.7,1186.27,217.69,275.17,579.78,
2020-07-09,1901.8,1176.56,216.96,261.81,567.38,
2020-07-10,1901.3,1173.97,217.32,270.32,574.69,
2020-07-13,1861.0,1180.18,213.77,268.87,577.09,
2020-07-14,1883.3,1203.28,215.85,278.56,589.67,
2020-07-15,1893.3,1219.14,216.95,284.02,604.71,
2020-07-16,1870.1,1217.06,214.37,282.57,604.74,
2020-07-17,1879.1,1233.67,217.37,278.27,608.04,
2020-07-20,1927.7,1233.55,215.19,273.46,601.01,
2020-07-21,1907.2,1232.87,215.21,290.28,608.86,
2020-07-22,1923.0,1243.35,217.89,286.39,613.87,
2020-07-23,1872.4,1238.28,216.82,285.79,611.76,
2020-07-24,1850.2,1224.52,215.96,284.11,606.87,
2020-07-27,1880.0,1233.39,218.37,284.71,609.26,
2020-07-28,1857.1,1231.63,222.85,279.73,605.24,
2020-07-29,1884.9,1244.95,227.07,285.7,614.28,
2020-07-30,1894.9,1235.39,225.18,273.99,608.33,
2020-07-31,1942.4,1228.58,224.82,272.09,605.88,
2020-08-03,1990.7,1241.39,221.52,272.81,608.31,
2020-08-04,1995.1,1235.79,224.53,279.51,609.97,
2020-08-05,2002.0,1241.86,223.1,282.46,621.97,
2020-08-06,2031.2,1234.73,223.31,280.45,623.94,
2020-08-07,1999.4,1239.1,226.33,280.59,634.74,
2020-08-10,1992.9,1234.88,225.96,289.24,650.15,
2020-08-11,1957.3,1226.88,221.74,288.55,653.59,
2020-08-12,2002.6,1247.96,224.67,290.07,655.94,
2020-08-13,2003.5,1245.9,221.91,284.31,651.68,
2020-08-14,2001.5,1243.21,222.22,286.99,654.39,
2020-08-17,2015.0,1250.47,224.2,285.18,651.15,
2020-08-18,2022.9,1250.04,223.86,280.29,647.64,
2020-08-19,2017.4,1245.63,219.35,277.05,645.8,
2020-08-20,2046.4,1242.04,221.72,271.15,642.7,
2020-08-21,2071.2,1243.13,222.26,269.45,644.59,
2020-08-24,2089.3,1236.45,222.8,276.87,656.15,
2020-08-25,2100.2,1245.11,223.48,272.94,655.54,
2020-08-26,2143.2,1243.59,221.82,266.85,655.85,
2020-08-27,2143.8,1253.32,224.86,267.52,658.0,
2020-08-28,2164.4,1255.85,226.49,272.48,664.07,
2020-08-31,2172.2,1259.88,224.57,266.5,656.22,
2020-09-01,2212.5,1247.56,224.23,264.05,662.5,259.997
2020-09-02,2232.9,1273.61,229.25,262.95,673.29,
2020-09-03,2102.8,1238.68,225.49,261.18,654.42,
2020-09-04,2074.5,1229.65,224.44,260.32,655.8,
2020-09-08,1979.3,1209.04,221.56,250.67,643.11,
2020-09-09,2045.5,1230.48,224.28,252.21,653.19,
2020-09-10,1999.0,1211.4,220.99,242.96,644.91,
2020-09-11,1984.0,1216.07,220.38,243.58,653.85,
2020-09-14,2025.1,1232.48,225.13,245.09,662.43,
2020-09-15,2045.3,1234.48,228.26,243.22,662.95,
2020-09-16,2013.4,1231.71,229.49,253.06,669.49,
2020-09-17,1996.4,1227.91,224.47,253.58,671.06,
2020-09-18,1963.3,1226.34,220.08,250.65,663.78,
2020-09-21,1978.1,1203.72,214.06,242.45,641.33,
2020-09-22,2010.7,1201.45,216.76,239.96,647.93,
2020-09-23,1946.1,1188.52,210.45,229.05,636.51,
2020-09-24,1958.2,1182.29,211.23,229.24,637.05,
2020-09-25,2005.2,1201.81,215.36,229.09,646.54,
2020-09-28,2042.3,1211.66,219.02,234.42,658.23,
2020-09-29,2036.1,1210.72,217.76,228.03,652.39,
2020-09-30,2054.6,1231.02,218.95,227.49,650.68,
2020-10-01,2074.3,1225.24,222.34,220.36,648.74,260.319
2020-10-02,2021.4,1214.11,225.85,222.55,655.83,
2020-10-05,2067.2,1239.5,227.2,229.05,666.52,
2020-10-06,2034.2,1223.27,225.43,225.56,658.49,
2020-10-07,2072.8,1246.4,226.06,228.82,673.1,
2020-10-08,2082.0,1252.28,229.64,237.46,679.36,
2020-10-09,2114.1,1263.33,228.95,233.68,682.05,
2020-10-12,2171.5,1271.84,230.07,234.41,686.01,
2020-10-13,2157.8,1262.7,226.17,230.76,678.71,
2020-10-14,2146.0,1253.94,223.54,231.47,682.35,
2020-10-15,2136.5,1244.88,224.58,234.18,684.71,
2020-10-16,2130.5,1257.6,223.66,228.78,689.55,
2020-10-19,2090.6,1236.95,220.19,223.97,681.01,
2020-10-20,2098.6,1238.56,221.79,226.51,684.7,
2020-10-21,2095.8,1232.76,220.97,222.01,677.92,
2020-10-22,2085.9,1251.08,219.28,231.24,683.01,
2020-10-23,2083.5,1255.97,220.77,229.96,685.74,
2020-10-26,2038.3,1242.03,218.11,221.99,668.6,
2020-10-27,2048.9,1233.48,215.41,218.92,654.04,
2020-10-28,1960.2,1193.7,210.22,209.69,632.4,
2020-10-29,1997.3,1185.17,213.04,216.41,641.58,
2020-10-30,1948.7,1184.32,211.46,216.82,641.01,
2020-11-02,1955.3,1205.91,216.82,224.77,658.54,
2020-11-03,1990.6,1223.3,220.36,223.09,677.69,
2020-11-04,2066.9,1277.71,220.98,223.45,670.97,
2020-11-05,2131.4,1280.07,221.67,223.36,686.25,
2020-11-06,2137.7,1282.04,220.74,218.58,687.16,
2020-11-09,2122.1,1291.38,226.42,249.67,710.14,
2020-11-10,2081.0,1295.95,227.6,255.97,722.88,
2020-11-11,2131.2,1293.81,229.36,253.82,716.55,
2020-11-12,2111.1,1288.6,227.03,245.21,708.21,
2020-11-13,2129.2,1305.4,232.2,254.55,723.41,
2020-11-16,2150.0,1302.87,233.38,271.09,741.35,
2020-11-17,2138.2,1293.3,233.65,272.44,739.26,
2020-11-18,2114.4,1270.51,229.74,264.6,735.92,
2020-11-19,2132.1,1268.74,230.02,268.65,737.69,
2020-11-20,2109.7,1266.25,228.51,267.24,730.99,
2020-11-23,2109.0,1262.42,227.74,286.18,742.96,
2020-11-24,2138.2,1266.01,227.68,300.95,756.3,
2020-11-25,2143.0,1260.66,228.17,293.66,750.4,
2020-11-27,2153.9,1272.68,227.66,289.99,748.75,
2020-11-30,2168.1,1276.31,225.82,274.42,741.25,
2020-12-01,2198.7,1286.61,228.68,275.62,740.02,262.045
2020-12-02,2193.9,1296.94,226.12,284.3,740.88,
2020-12-03,2191.6,1294.77,227.78,287.34,742.89,
2020-12-04,2213.9,1308.88,230.8,302.94,751.94,
2020-12-07,2219.8,1300.77,228.62,295.55,748.3,
2020-12-08,2227.4,1310.26,227.47,300.19,751.51,
2020-12-09,2185.6,1306.48,225.25,301.14,753.31,
2020-12-10,2187.2,1303.91,224.16,309.95,746.29,
2020-12-11,2182.2,1298.49,224.15,306.38,748.01,
2020-12-14,2191.2,1288.29,222.19,295.55,738.42,
2020-12-15,2226.5,1302.04,226.03,301.23,748.57,
2020-12-16,2243.1,1297.69,226.06,300.04,743.97,
2020-12-17,2259.8,1312.28,228.8,298.33,748.34,
2020-12-18,2252.1,1312.65,224.62,293.33,748.53,
2020-12-21,2253.7,1299.99,222.84,288.06,744.2,
2020-12-22,2273.1,1295.75,224.2,283.04,740.19,
2020-12-23,2253.8,1296.78,222.06,289.2,743.57,
2020-12-24,2270.6,1299.88,223.92,287.38,744.1,
2020-12-28,2297.0,1303.37,225.83,285.82,745.11,
2020-12-29,2285.0,1309.07,224.24,283.93,740.08,
2020-12-30,2284.5,1309.08,225.04,288.48,744.99,
2020-12-31,2291.3,1324.01,227.9,286.14,749.54,
2021-01-04,2250.2,1316.89,220.4,286.5,730.44,
2021-01-05,2265.9,1325.67,220.22,299.49,737.89,
2021-01-06,2225.0,1343.75,219.02,308.45,755.34,
2021-01-07,2284.0,1362.09,219.69,313.06,759.48,
2021-01-08,2301.2,1368.54,222.08,312.78,757.79,
2021-01-11,2279.5,1375.46,218.4,317.86,757.35,
2021-01-12,2269.8,1367.47,218.53,328.98,765.17,
2021-01-13,2284.6,1364.15,221.56,326.33,758.57,
2021-01-14,2263.0,1358.91,222.94,336.14,760.8,
2021-01-15,2240.9,1363.26,226.2,322.58,751.1,
2021-01-19,2270.3,1373.74,224.97,329.3,753.5,
2021-01-20,2316.0,1381.65,229.41,330.47,758.3,
2021-01-21,2346.6,1374.72,228.63,319.12,752.13,
2021-01-22,2339.1,1370.9,229.33,317.54,748.41,
2021-01-25,2359.6,1379.86,231.22,314.17,743.26,
2021-01-26,2359.8,1374.4,233.85,307.5,736.48,
2021-01-27,2314.4,1332.42,230.6,303.22,721.47,
2021-01-28,2324.9,1352.11,231.34,306.92,732.34,
2021-01-29,2269.1,1340.92,228.98,296.52,717.01,
2021-02-01,2326.1,1345.17,234.17,298.59,723.93,263.573
2021-02-02,2355.9,1348.92,235.13,301.85,739.52,
2021-02-03,2348.8,1339.46,234.25,314.75,739.92,
2021-02-04,2385.1,1344.26,235.41,318.16,748.06,
2021-02-05,2379.9,1347.65,236.22,321.1,752.03,
2021-02-08,2404.6,1349.6,236.75,334.5,758.84,
2021-02-09,2400.0,1351.29,237.87,329.41,760.45,
2021-02-10,2396.4,1353.55,239.29,335.48,759.21,
2021-02-11,2422.5,1355.74,239.02,330.36,757.66,
2021-02-12,2434.5,1365.94,238.88,334.99,762.72,
2021-02-16,2427.3,1351.99,236.33,342.57,762.36,
2021-02-17,2402.2,1356.79,236.53,347.55,760.01,
2021-02-18,2391.4,1347.97,236.47,339.66,756.26,
2021-02-19,2387.8,1332.52,237.03,345.23,768.39,
2021-02-22,2333.9,1328.53,238.31,357.22,770.71,
2021-02-23,2328.1,1326.48,239.06,362.97,772.88,
2021-02-24,2363.2,1335.2,240.38,376.2,787.82,
2021-02-25,2279.8,1321.95,236.56,368.66,772.43,
2021-02-26,2293.4,1311.27,232.26,360.19,764.55,
2021-03-01,2366.3,1327.31,232.62,369.47,783.76,264.847
2021-03-02,2327.7,1324.03,230.96,367.31,781.68,
2021-03-03,2269.8,1306.45,228.26,372.55,782.25,
2021-03-04,2218.6,1289.06,226.5,381.76,769.69,
2021-03-05,2262.3,1315.13,229.11,396.54,788.1,
2021-03-08,2206.5,1311.39,230.32,397.13,796.38,
2021-03-09,2281.8,1319.47,232.77,389.54,793.3,
2021-03-10,2272.6,1322.33,235.07,399.8,804.77,
2021-03-11,2320.8,1330.59,238.6,400.11,805.43,
2021-03-12,2304.3,1332.42,242.19,400.82,816.2,
2021-03-15,2329.8,1341.12,245.04,395.81,822.9,
2021-03-16,2348.2,1340.61,244.99,384.62,811.09,
2021-03-17,2345.6,1335.15,244.6,388.23,820.2,
2021-03-18,2278.8,1332.61,242.8,370.06,819.78,
2021-03-19,2273.1,1337.41,239.73,370.11,813.8,
2021-03-22,2317.0,1349.51,242.4,366.39,812.99,
2021-03-23,2302.3,1335.59,243.24,361.4,798.66,
2021-03-24,2274.5,1334.81,241.95,370.51,804.49,
2021-03-25,2272.9,1338.97,243.85,371.44,817.07,
2021-03-26,2330.6,1365.45,249.87,381.18,831.5,
2021-03-29,2318.6,1370.87,249.43,376.37,831.57,
2021-03-30,2296.7,1358.45,248.21,373.35,834.72,
2021-03-31,2331.1,1360.34,247.0,369.89,831.98,
2021-04-01,2380.0,1357.4,250.9,379.71,835.29,266.625
2021-04-05,2428.2,1366.35,252.42,370.57,845.87,
2021-04-06,2419.0,1361.46,252.87,369.6,843.63,
2021-04-07,2432.0,1358.17,253.24,371.23,839.89,
2021-04-08,2466.6,1359.72,251.81,366.17,841.63,
2021-04-09,2491.0,1375.56,252.17,364.35,849.97,
2021-04-12,2478.9,1376.24,253.55,360.91,852.86,
2021-04-13,2502.6,1382.34,255.16,361.26,849.0,
2021-04-14,2473.9,1380.68,253.39,371.78,849.91,
2021-04-15,2518.1,1404.75,258.34,368.5,853.19,
2021-04-16,2517.3,1415.24,258.78,365.19,854.96,
2021-04-19,2495.2,1415.09,259.54,364.98,851.5,
2021-04-20,2474.3,1421.13,262.45,355.26,842.2,
2021-04-21,2499.6,1437.3,263.51,360.5,853.63,
2021-04-22,2470.1,1431.16,262.52,355.42,849.59,
2021-04-23,2505.7,1440.34,264.05,358.74,858.65,
2021-04-26,2519.9,1435.26,264.58,361.03,856.18,
2021-04-27,2512.9,1427.98,264.52,365.57,863.63,
2021-04-28,2488.7,1423.0,263.62,377.8,861.32,
2021-04-29,2488.1,1417.49,265.42,381.98,867.31,
2021-04-30,2452.6,1412.92,267.06,371.6,861.51,
2021-05-03,2447.3,1429.43,265.78,382.43,870.4,
2021-05-04,2401.0,1429.98,264.16,382.51,873.99,
2021-05-05,2397.1,1433.22,260.15,395.24,875.14,
2021-05-06,2421.4,1434.29,261.54,397.15,881.19,
2021-05-07,2440.4,1444.6,264.7,404.65,890.44,
2021-05-10,2378.5,1446.02,265.62,404.45,891.14,
2021-05-11,2372.7,1431.91,262.66,394.09,878.28,
2021-05-12,2304.8,1417.53,256.44,394.33,856.82,
2021-05-13,2336.4,1430.99,259.46,389.01,873.08,
2021-05-14,2386.0,1436.47,262.08,401.29,884.78,
2021-05-17,2369.3,1434.08,262.07,410.53,882.29,
2021-05-18,2350.0,1434.77,262.51,399.72,869.28,
2021-05-19,2357.7,1432.71,261.41,389.63,864.22,
2021-05-20,2401.8,1447.62,264.92,389.17,866.0,
2021-05-21,2389.2,1447.14,264.46,389.91,869.73,
2021-05-24,2431.2,1447.97,267.25,393.76,874.9,
2021-05-25,2432.7,1443.59,268.07,385.73,872.36,
2021-05-26,2432.4,1435.48,268.68,389.32,875.34,
2021-05-27,2419.6,1433.16,268.25,389.54,887.3,
2021-05-28,2426.9,1437.44,269.98,389.82,886.44,
2021-06-01,2416.6,1413.81,274.54,405.14,890.2,270.71
2021-06-02,2431.7,1410.72,278.4,412.19,887.57,
2021-06-03,2409.4,1416.33,277.83,413.47,885.39,
2021-06-04,2455.6,1420.85,278.18,415.85,888.37,
2021-06-07,2455.2,1425.6,280.72,414.25,882.26,
2021-06-08,2455.8,1420.48,282.16,417.89,884.52,
2021-06-09,2457.3,1434.66,282.61,415.56,875.44,
2021-06-10,2475.7,1458.85,285.29,415.02,871.31,
2021-06-11,2489.5,1448.24,283.61,413.47,872.96,
2021-06-14,2515.4,1449.39,284.81,411.85,868.74,
2021-06-15,2499.3,1449.02,281.86,420.34,872.8,
